firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant
3.5,2.1,left,4,5,7.1,1,0,1,0,1,5,25,16,,,left,1,0.733457939,2018_Dec_04_1655,None,TimingTask,1,aaylward
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,1,6,26,3,,,right,1,0.466737531,2018_Dec_04_1655,None,TimingTask,1,aaylward
2.7,1.8,left,3.2,4.2,6,1,0,1,0,1,7,27,7,,,left,1,0.688191217,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.8,2.7,right,2.3,3.3,6,1,0,1,0,1,8,28,17,,,right,1,0.567181008,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.2,1.8,right,1.7,2.7,4.5,1,0,1,0,1,9,29,2,,,right,1,0.350689166,2018_Dec_04_1655,None,TimingTask,1,aaylward
0.7,1.4,right,1.2,2.2,3.6,1,0,1,0,1,10,30,0,,,right,1,0.50065095,2018_Dec_04_1655,None,TimingTask,1,aaylward
3.2,3.6,right,3.7,4.7,8.3,1,0,1,0,1,11,31,9,,,left,0,1.134034621,2018_Dec_04_1655,None,TimingTask,1,aaylward
2.8,2.1,left,3.3,4.3,6.4,1,0,1,0,1,12,32,8,,,right,0,0.917564965,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.8,1.2,left,2.3,3.3,4.5,1,0,1,0,1,13,33,12,,,left,1,0.833945505,2018_Dec_04_1655,None,TimingTask,1,aaylward
2.1,3.5,right,2.6,3.6,7.1,1,0,1,0,1,14,34,6,,,right,1,0.38012259,2018_Dec_04_1655,None,TimingTask,1,aaylward
2.5,1.5,left,3,4,5.5,1,0,1,0,1,15,35,1,,,left,1,0.63406207,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.8,0.9,left,2.3,3.3,4.2,1,0,1,0,1,16,36,5,,,left,1,0.81742499,2018_Dec_04_1655,None,TimingTask,1,aaylward
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,1,17,37,4,,,right,0,0.534005152,2018_Dec_04_1655,None,TimingTask,1,aaylward
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,1,18,38,18,,,left,0,0.904697851,2018_Dec_04_1655,None,TimingTask,1,aaylward
0.9,1.8,right,1.4,2.4,4.2,1,0,1,0,1,19,39,15,,,right,1,0.596110113,2018_Dec_04_1655,None,TimingTask,1,aaylward
,,,,,,1,0,1,0,,,,,,,,,,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,0,0,0,2,space,2.271635809,right,1,2.15401251,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,1,1,13,,,left,1,1.18388653,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.5,1.5,left,3,4,5.5,0,0,0,0,0,2,2,1,,,left,1,1.216773096,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,3,3,5,,,left,1,0.837645031,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.8,2.7,right,2.3,3.3,6,0,0,0,0,0,4,4,17,,,right,1,0.484006565,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,0,5,5,8,,,right,0,0.617816152,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,0,6,6,10,,,left,1,1.467304295,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,7,7,15,,,right,1,0.479944989,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,8,8,4,,,left,1,0.43397229,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
1.5,2.5,right,2,3,5.5,0,0,0,0,0,9,9,11,,,right,1,0.550915199,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,10,10,3,,,right,1,0.321621445,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,0,11,11,9,,,right,1,0.316950305,2018_Dec_04_1653,59.96687488,TimingTask,1,aeustace
